state,island_destination,year,quarter,date,domestic_tourists,international_tourists,total_tourists,marine_park_visitors,hotel_occupancy_rate,avg_expenditure_myr,fish_landings_mt,is_monsoon_season,marine_water_quality_index,carrying_capacity_stress,overtourism_risk,tourist_growth_qoq
Sabah,Semporna & Sipadan,2022,Q1,2022-01-01,1874738,366867,2241605,947186,47.6,761.86,19128,0,60.0,100.0,Critical,70.98
Sabah,Semporna & Sipadan,2022,Q2,2022-04-01,2525772,459479,2985251,1232528,57.3,1004.16,18942,0,60.0,100.0,Critical,33.17
Sabah,Semporna & Sipadan,2022,Q3,2022-07-01,2371110,428253,2799363,1161942,61.3,987.9,19687,0,60.0,100.0,Critical,-6.23
Sabah,Semporna & Sipadan,2022,Q4,2022-10-01,1944001,349998,2293999,982211,44.5,772.46,18234,0,60.0,100.0,Critical,-18.05
Sabah,Semporna & Sipadan,2023,Q1,2023-01-01,2149256,438831,2588087,1079773,50.9,777.0,19245,0,60.0,100.0,Critical,12.82
Sabah,Semporna & Sipadan,2023,Q2,2023-04-01,2991088,541813,3532901,1507789,64.6,1006.76,20218,0,60.0,100.0,Critical,36.51
Sabah,Semporna & Sipadan,2023,Q3,2023-07-01,2810997,530741,3341738,1410538,68.7,1043.99,18941,0,60.0,100.0,Critical,-5.41
Sabah,Semporna & Sipadan,2023,Q4,2023-10-01,2278686,380136,2658822,1098516,55.0,780.68,18654,0,60.0,100.0,Critical,-20.44
Sabah,Semporna & Sipadan,2024,Q1,2024-01-01,2309154,436134,2745288,1177438,52.5,808.92,20207,0,60.0,100.0,Critical,3.25
Sabah,Semporna & Sipadan,2024,Q2,2024-04-01,2999739,538511,3538250,1465192,76.2,1043.52,19317,0,60.0,100.0,Critical,28.88
Sabah,Semporna & Sipadan,2024,Q3,2024-07-01,2972114,570920,3543034,1525299,74.3,1076.11,18668,0,60.0,100.0,Critical,0.14
Sabah,Semporna & Sipadan,2024,Q4,2024-10-01,2372914,458844,2831758,1180382,58.4,816.37,18405,0,60.0,100.0,Critical,-20.08
Sarawak,Damai & Talang-Satang,2019,Q1,2019-01-01,1458958,178496,1637454,240076,59.9,697.05,13021,0,73.9,60.2,High,0.0
Sarawak,Damai & Talang-Satang,2019,Q2,2019-04-01,2021867,212822,2234689,342359,69.2,890.26,12294,0,69.7,77.1,Critical,36.47
Sarawak,Damai & Talang-Satang,2019,Q3,2019-07-01,1906389,223445,2129834,316954,74.9,901.49,12829,0,69.3,76.8,Critical,-4.69
Sarawak,Damai & Talang-Satang,2019,Q4,2019-10-01,1537789,166895,1704684,256031,55.0,676.48,13737,0,73.9,59.8,Moderate,-19.96
Sarawak,Damai & Talang-Satang,2020,Q1,2020-01-01,487371,60931,548302,81684,25.0,726.25,12447,0,82.8,24.2,Low,-67.84
Sarawak,Damai & Talang-Satang,2020,Q2,2020-04-01,657246,79815,737061,110890,25.0,923.95,13768,0,81.4,27.9,Low,34.43
Sarawak,Damai & Talang-Satang,2020,Q3,2020-07-01,669725,77875,747600,111149,25.0,935.07,13712,0,81.4,27.9,Low,1.43
Sarawak,Damai & Talang-Satang,2020,Q4,2020-10-01,477912,54759,532671,80966,25.0,698.58,12826,0,82.4,24.2,Low,-28.75
Sarawak,Damai & Talang-Satang,2021,Q1,2021-01-01,695593,81510,777103,113768,27.2,726.36,12643,0,81.0,29.3,Low,45.89
Sarawak,Damai & Talang-Satang,2021,Q2,2021-04-01,907988,105382,1013370,149175,30.7,948.08,13491,0,79.4,35.3,Low,30.4
Sarawak,Damai & Talang-Satang,2021,Q3,2021-07-01,878591,106532,985123,143966,31.1,968.33,13572,0,79.3,34.9,Low,-2.79
Sarawak,Damai & Talang-Satang,2021,Q4,2021-10-01,684459,85854,770313,112771,29.2,718.85,13509,0,81.4,30.0,Low,-21.81
Sarawak,Damai & Talang-Satang,2022,Q1,2022-01-01,1145895,141278,1287173,187435,42.0,764.87,13705,0,75.7,45.6,Moderate,67.1
Sarawak,Damai & Talang-Satang,2022,Q2,2022-04-01,1593538,185043,1778581,263342,54.7,989.83,13234,0,71.3,61.1,High,38.18
Sarawak,Damai & Talang-Satang,2022,Q3,2022-07-01,1608288,170989,1779277,267759,59.1,995.85,13744,0,73.6,63.1,High,0.04
Sarawak,Damai & Talang-Satang,2022,Q4,2022-10-01,1184663,139609,1324272,200629,41.5,764.75,12714,0,77.0,46.7,Moderate,-25.57
Sarawak,Damai & Talang-Satang,2023,Q1,2023-01-01,1439678,149770,1589448,233321,51.7,803.66,12814,0,74.2,55.6,Moderate,20.02
Sarawak,Damai & Talang-Satang,2023,Q2,2023-04-01,1812341,227475,2039816,314944,66.6,1021.89,13612,0,71.1,72.5,High,28.33
Sarawak,Damai & Talang-Satang,2023,Q3,2023-07-01,1755094,223575,1978669,295418,63.8,1006.16,12741,0,69.8,69.2,High,-3.0
Sarawak,Damai & Talang-Satang,2023,Q4,2023-10-01,1404438,157883,1562321,228706,52.4,789.52,12625,0,73.2,55.6,Moderate,-21.04
Sarawak,Damai & Talang-Satang,2024,Q1,2024-01-01,1551149,186254,1737403,265294,57.4,806.88,12996,0,71.3,62.5,High,11.21
Sarawak,Damai & Talang-Satang,2024,Q2,2024-04-01,1948424,218977,2167401,323901,70.8,1056.67,13006,0,67.9,76.1,Critical,24.75
Sarawak,Damai & Talang-Satang,2024,Q3,2024-07-01,1905428,231081,2136509,322773,71.2,1077.95,13757,0,68.8,75.9,Critical,-1.43
Sarawak,Damai & Talang-Satang,2024,Q4,2024-10-01,1566281,172658,1738939,264043,57.3,830.71,12286,0,72.0,62.2,High,-18.61
Terengganu,Pulau Redang & Perhentian,2019,Q1,2019-01-01,444469,64961,509430,183252,34.6,355.52,2383,1,77.5,41.4,Moderate,0.0
Terengganu,Pulau Redang & Perhentian,2019,Q2,2019-04-01,1044791,164713,1209504,418410,70.2,883.97,3482,0,64.0,87.6,Critical,137.42
Terengganu,Pulau Redang & Perhentian,2019,Q3,2019-07-01,1109301,161453,1270754,441661,72.5,894.74,3490,0,63.1,91.5,Critical,5.06
Terengganu,Pulau Redang & Perhentian,2019,Q4,2019-10-01,472024,68799,540823,184839,31.7,372.1,2486,1,75.3,40.8,Moderate,-57.44
Terengganu,Pulau Redang & Perhentian,2020,Q1,2020-01-01,142077,21016,163093,55398,25.0,395.19,2509,1,84.2,20.9,Low,-69.84
Terengganu,Pulau Redang & Perhentian,2020,Q2,2020-04-01,350797,51110,401907,144182,25.0,919.33,3644,0,78.6,32.4,Low,146.43
Terengganu,Pulau Redang & Perhentian,2020,Q3,2020-07-01,354935,49637,404572,145055,25.0,905.56,3711,0,77.3,32.7,Low,0.66
Terengganu,Pulau Redang & Perhentian,2020,Q4,2020-10-01,154640,21499,176139,62422,25.0,406.06,2362,1,82.8,22.0,Low,-56.46
Terengganu,Pulau Redang & Perhentian,2021,Q1,2021-01-01,204491,31165,235656,80093,25.0,395.6,2449,1,83.0,24.0,Low,33.79
Terengganu,Pulau Redang & Perhentian,2021,Q2,2021-04-01,529477,72710,602187,212203,35.0,953.49,3876,0,74.8,45.5,Moderate,155.54
Terengganu,Pulau Redang & Perhentian,2021,Q3,2021-07-01,526572,78381,604953,214064,33.3,949.22,3562,0,73.7,45.2,Moderate,0.46
Terengganu,Pulau Redang & Perhentian,2021,Q4,2021-10-01,222123,30341,252464,87100,25.0,410.42,2326,1,81.0,25.2,Low,-58.27
Terengganu,Pulau Redang & Perhentian,2022,Q1,2022-01-01,349047,51850,400897,138472,26.8,406.67,2292,1,79.9,32.2,Low,58.79
Terengganu,Pulau Redang & Perhentian,2022,Q2,2022-04-01,877856,118304,996160,348741,61.0,976.53,3607,0,68.6,74.4,High,148.48
Terengganu,Pulau Redang & Perhentian,2022,Q3,2022-07-01,854938,125127,980065,347222,57.2,975.45,3603,0,68.0,72.6,High,-1.62
Terengganu,Pulau Redang & Perhentian,2022,Q4,2022-10-01,345287,55166,400453,142152,25.0,421.55,2308,1,78.9,32.1,Low,-59.14
Terengganu,Pulau Redang & Perhentian,2023,Q1,2023-01-01,422682,61000,483682,170824,29.1,435.29,2466,1,77.8,37.5,Low,20.78
Terengganu,Pulau Redang & Perhentian,2023,Q2,2023-04-01,1021199,143460,1164659,409569,64.4,1014.9,3589,0,66.0,83.6,Critical,140.79
Terengganu,Pulau Redang & Perhentian,2023,Q3,2023-07-01,1021571,151414,1172985,413588,71.2,1012.6,3661,0,63.0,87.7,Critical,0.71
Terengganu,Pulau Redang & Perhentian,2023,Q4,2023-10-01,433552,61253,494805,175804,29.9,437.1,2419,1,77.4,38.5,Low,-57.82
Terengganu,Pulau Redang & Perhentian,2024,Q1,2024-01-01,451044,67935,518979,183797,33.7,440.08,2266,1,76.6,41.3,Moderate,4.89
Terengganu,Pulau Redang & Perhentian,2024,Q2,2024-04-01,1087686,146173,1233859,422067,72.8,1079.21,3550,0,62.6,89.5,Critical,137.75
Terengganu,Pulau Redang & Perhentian,2024,Q3,2024-07-01,1077767,164050,1241817,429098,69.8,1051.53,3793,0,63.0,88.9,Critical,0.64
Terengganu,Pulau Redang & Perhentian,2024,Q4,2024-10-01,455756,66161,521917,179197,34.9,455.49,2398,1,77.4,41.1,Moderate,-57.97
